query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,1.0,0.034483
COVID-19 pandemic response and lockdown measures,2,1.0,0.068966
COVID-19 pandemic response and lockdown measures,3,1.0,0.103448
COVID-19 pandemic response and lockdown measures,4,1.0,0.137931
COVID-19 pandemic response and lockdown measures,5,0.8,0.137931
COVID-19 pandemic response and lockdown measures,6,0.833333,0.172414
COVID-19 pandemic response and lockdown measures,7,0.857143,0.206897
COVID-19 pandemic response and lockdown measures,8,0.875,0.241379
COVID-19 pandemic response and lockdown measures,9,0.888889,0.275862
COVID-19 pandemic response and lockdown measures,10,0.8,0.275862
COVID-19 pandemic response and lockdown measures,11,0.727273,0.275862
COVID-19 pandemic response and lockdown measures,12,0.75,0.310345
COVID-19 pandemic response and lockdown measures,13,0.769231,0.344828
COVID-19 pandemic response and lockdown measures,14,0.785714,0.37931
COVID-19 pandemic response and lockdown measures,15,0.8,0.413793
COVID-19 pandemic response and lockdown measures,16,0.75,0.413793
COVID-19 pandemic response and lockdown measures,17,0.764706,0.448276
COVID-19 pandemic response and lockdown measures,18,0.777778,0.482759
COVID-19 pandemic response and lockdown measures,19,0.736842,0.482759
COVID-19 pandemic response and lockdown measures,20,0.75,0.517241
COVID-19 pandemic response and lockdown measures,21,0.761905,0.551724
COVID-19 pandemic response and lockdown measures,22,0.772727,0.586207
COVID-19 pandemic response and lockdown measures,23,0.73913,0.586207
COVID-19 pandemic response and lockdown measures,24,0.708333,0.586207
COVID-19 pandemic response and lockdown measures,25,0.68,0.586207
COVID-19 pandemic response and lockdown measures,26,0.68,0.586207
COVID-19 pandemic response and lockdown measures,27,0.692308,0.62069
COVID-19 pandemic response and lockdown measures,28,0.703704,0.655172
COVID-19 pandemic response and lockdown measures,29,0.678571,0.655172
COVID-19 pandemic response and lockdown measures,30,0.655172,0.655172
COVID-19 pandemic response and lockdown measures,31,0.666667,0.689655
COVID-19 pandemic response and lockdown measures,32,0.666667,0.689655
COVID-19 pandemic response and lockdown measures,33,0.645161,0.689655
COVID-19 pandemic response and lockdown measures,34,0.65625,0.724138
COVID-19 pandemic response and lockdown measures,35,0.666667,0.758621
COVID-19 pandemic response and lockdown measures,36,0.647059,0.758621
COVID-19 pandemic response and lockdown measures,37,0.657143,0.793103
COVID-19 pandemic response and lockdown measures,38,0.638889,0.793103
COVID-19 pandemic response and lockdown measures,39,0.648649,0.827586
COVID-19 pandemic response and lockdown measures,40,0.657895,0.862069
COVID-19 pandemic response and lockdown measures,41,0.666667,0.896552
COVID-19 pandemic response and lockdown measures,42,0.666667,0.896552
COVID-19 pandemic response and lockdown measures,43,0.65,0.896552
COVID-19 pandemic response and lockdown measures,44,0.658537,0.931034
COVID-19 pandemic response and lockdown measures,45,0.666667,0.965517
COVID-19 pandemic response and lockdown measures,46,0.666667,0.965517
COVID-19 pandemic response and lockdown measures,47,0.674419,1.0
COVID-19 pandemic response and lockdown measures,48,0.674419,1.0
COVID-19 pandemic response and lockdown measures,49,0.659091,1.0
COVID-19 pandemic response and lockdown measures,50,0.644444,1.0
2020 US presidential election and voter turnout,1,1.0,0.037037
2020 US presidential election and voter turnout,2,0.5,0.037037
2020 US presidential election and voter turnout,3,0.666667,0.074074
2020 US presidential election and voter turnout,4,0.75,0.111111
2020 US presidential election and voter turnout,5,0.8,0.148148
2020 US presidential election and voter turnout,6,0.666667,0.148148
2020 US presidential election and voter turnout,7,0.571429,0.148148
2020 US presidential election and voter turnout,8,0.625,0.185185
2020 US presidential election and voter turnout,9,0.666667,0.222222
2020 US presidential election and voter turnout,10,0.7,0.259259
2020 US presidential election and voter turnout,11,0.727273,0.296296
2020 US presidential election and voter turnout,12,0.75,0.333333
2020 US presidential election and voter turnout,13,0.769231,0.37037
2020 US presidential election and voter turnout,14,0.714286,0.37037
2020 US presidential election and voter turnout,15,0.666667,0.37037
2020 US presidential election and voter turnout,16,0.6875,0.407407
2020 US presidential election and voter turnout,17,0.705882,0.444444
2020 US presidential election and voter turnout,18,0.722222,0.481481
2020 US presidential election and voter turnout,19,0.736842,0.518519
2020 US presidential election and voter turnout,20,0.7,0.518519
2020 US presidential election and voter turnout,21,0.666667,0.518519
2020 US presidential election and voter turnout,22,0.636364,0.518519
2020 US presidential election and voter turnout,23,0.652174,0.555556
2020 US presidential election and voter turnout,24,0.625,0.555556
2020 US presidential election and voter turnout,25,0.6,0.555556
2020 US presidential election and voter turnout,26,0.615385,0.592593
2020 US presidential election and voter turnout,27,0.592593,0.592593
2020 US presidential election and voter turnout,28,0.607143,0.62963
2020 US presidential election and voter turnout,29,0.586207,0.62963
2020 US presidential election and voter turnout,30,0.566667,0.62963
2020 US presidential election and voter turnout,31,0.580645,0.666667
2020 US presidential election and voter turnout,32,0.5625,0.666667
2020 US presidential election and voter turnout,33,0.575758,0.703704
2020 US presidential election and voter turnout,34,0.588235,0.740741
2020 US presidential election and voter turnout,35,0.6,0.777778
2020 US presidential election and voter turnout,36,0.611111,0.814815
2020 US presidential election and voter turnout,37,0.594595,0.814815
2020 US presidential election and voter turnout,38,0.605263,0.851852
2020 US presidential election and voter turnout,39,0.589744,0.851852
2020 US presidential election and voter turnout,40,0.589744,0.851852
2020 US presidential election and voter turnout,41,0.6,0.888889
2020 US presidential election and voter turnout,42,0.585366,0.888889
2020 US presidential election and voter turnout,43,0.571429,0.888889
2020 US presidential election and voter turnout,44,0.581395,0.925926
2020 US presidential election and voter turnout,45,0.590909,0.962963
2020 US presidential election and voter turnout,46,0.577778,0.962963
2020 US presidential election and voter turnout,47,0.565217,0.962963
2020 US presidential election and voter turnout,48,0.574468,1.0
2020 US presidential election and voter turnout,49,0.5625,1.0
2020 US presidential election and voter turnout,50,0.55102,1.0
Black Lives Matter protests and racial justice,1,1.0,0.041667
Black Lives Matter protests and racial justice,2,1.0,0.083333
Black Lives Matter protests and racial justice,3,1.0,0.125
Black Lives Matter protests and racial justice,4,1.0,0.166667
Black Lives Matter protests and racial justice,5,1.0,0.208333
Black Lives Matter protests and racial justice,6,1.0,0.25
Black Lives Matter protests and racial justice,7,1.0,0.291667
Black Lives Matter protests and racial justice,8,1.0,0.333333
Black Lives Matter protests and racial justice,9,0.888889,0.333333
Black Lives Matter protests and racial justice,10,0.9,0.375
Black Lives Matter protests and racial justice,11,0.909091,0.416667
Black Lives Matter protests and racial justice,12,0.833333,0.416667
Black Lives Matter protests and racial justice,13,0.846154,0.458333
Black Lives Matter protests and racial justice,14,0.857143,0.5
Black Lives Matter protests and racial justice,15,0.866667,0.541667
Black Lives Matter protests and racial justice,16,0.875,0.583333
Black Lives Matter protests and racial justice,17,0.882353,0.625
Black Lives Matter protests and racial justice,18,0.833333,0.625
Black Lives Matter protests and racial justice,19,0.789474,0.625
Black Lives Matter protests and racial justice,20,0.8,0.666667
Black Lives Matter protests and racial justice,21,0.761905,0.666667
Black Lives Matter protests and racial justice,22,0.727273,0.666667
Black Lives Matter protests and racial justice,23,0.695652,0.666667
Black Lives Matter protests and racial justice,24,0.708333,0.708333
Black Lives Matter protests and racial justice,25,0.68,0.708333
Black Lives Matter protests and racial justice,26,0.653846,0.708333
Black Lives Matter protests and racial justice,27,0.666667,0.75
Black Lives Matter protests and racial justice,28,0.678571,0.791667
Black Lives Matter protests and racial justice,29,0.655172,0.791667
Black Lives Matter protests and racial justice,30,0.633333,0.791667
Black Lives Matter protests and racial justice,31,0.645161,0.833333
Black Lives Matter protests and racial justice,32,0.625,0.833333
Black Lives Matter protests and racial justice,33,0.606061,0.833333
Black Lives Matter protests and racial justice,34,0.588235,0.833333
Black Lives Matter protests and racial justice,35,0.571429,0.833333
Black Lives Matter protests and racial justice,36,0.555556,0.833333
Black Lives Matter protests and racial justice,37,0.540541,0.833333
Black Lives Matter protests and racial justice,38,0.526316,0.833333
Black Lives Matter protests and racial justice,39,0.512821,0.833333
Black Lives Matter protests and racial justice,40,0.525,0.875
Black Lives Matter protests and racial justice,41,0.536585,0.916667
Black Lives Matter protests and racial justice,42,0.52381,0.916667
Black Lives Matter protests and racial justice,43,0.534884,0.958333
Black Lives Matter protests and racial justice,44,0.522727,0.958333
Black Lives Matter protests and racial justice,45,0.511111,0.958333
Black Lives Matter protests and racial justice,46,0.5,0.958333
Black Lives Matter protests and racial justice,47,0.489362,0.958333
Black Lives Matter protests and racial justice,48,0.479167,0.958333
Black Lives Matter protests and racial justice,49,0.469388,0.958333
Black Lives Matter protests and racial justice,50,0.48,1.0
Brexit negotiations and the UK leaving the EU,1,1.0,0.022727
Brexit negotiations and the UK leaving the EU,2,1.0,0.045455
Brexit negotiations and the UK leaving the EU,3,1.0,0.068182
Brexit negotiations and the UK leaving the EU,4,1.0,0.090909
Brexit negotiations and the UK leaving the EU,5,1.0,0.113636
