query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,1.0,0.030303
COVID-19 pandemic response and lockdown measures,2,1.0,0.060606
COVID-19 pandemic response and lockdown measures,3,1.0,0.090909
COVID-19 pandemic response and lockdown measures,4,1.0,0.121212
COVID-19 pandemic response and lockdown measures,5,1.0,0.151515
COVID-19 pandemic response and lockdown measures,6,1.0,0.181818
COVID-19 pandemic response and lockdown measures,7,1.0,0.212121
COVID-19 pandemic response and lockdown measures,8,1.0,0.242424
COVID-19 pandemic response and lockdown measures,9,1.0,0.272727
COVID-19 pandemic response and lockdown measures,10,1.0,0.30303
COVID-19 pandemic response and lockdown measures,11,0.909091,0.30303
COVID-19 pandemic response and lockdown measures,12,0.916667,0.333333
COVID-19 pandemic response and lockdown measures,13,0.923077,0.363636
COVID-19 pandemic response and lockdown measures,14,0.928571,0.393939
COVID-19 pandemic response and lockdown measures,15,0.933333,0.424242
COVID-19 pandemic response and lockdown measures,16,0.9375,0.454545
COVID-19 pandemic response and lockdown measures,17,0.941176,0.484848
COVID-19 pandemic response and lockdown measures,18,0.944444,0.515152
COVID-19 pandemic response and lockdown measures,19,0.947368,0.545455
COVID-19 pandemic response and lockdown measures,20,0.95,0.575758
COVID-19 pandemic response and lockdown measures,21,0.904762,0.575758
COVID-19 pandemic response and lockdown measures,22,0.909091,0.606061
COVID-19 pandemic response and lockdown measures,23,0.913043,0.636364
COVID-19 pandemic response and lockdown measures,24,0.875,0.636364
COVID-19 pandemic response and lockdown measures,25,0.84,0.636364
COVID-19 pandemic response and lockdown measures,26,0.807692,0.636364
COVID-19 pandemic response and lockdown measures,27,0.777778,0.636364
COVID-19 pandemic response and lockdown measures,28,0.785714,0.666667
COVID-19 pandemic response and lockdown measures,29,0.793103,0.69697
COVID-19 pandemic response and lockdown measures,30,0.766667,0.69697
COVID-19 pandemic response and lockdown measures,31,0.741935,0.69697
COVID-19 pandemic response and lockdown measures,32,0.75,0.727273
COVID-19 pandemic response and lockdown measures,33,0.757576,0.757576
COVID-19 pandemic response and lockdown measures,34,0.735294,0.757576
COVID-19 pandemic response and lockdown measures,35,0.742857,0.787879
COVID-19 pandemic response and lockdown measures,36,0.75,0.818182
COVID-19 pandemic response and lockdown measures,37,0.756757,0.848485
COVID-19 pandemic response and lockdown measures,38,0.763158,0.878788
COVID-19 pandemic response and lockdown measures,39,0.769231,0.909091
COVID-19 pandemic response and lockdown measures,40,0.75,0.909091
COVID-19 pandemic response and lockdown measures,41,0.756098,0.939394
COVID-19 pandemic response and lockdown measures,42,0.738095,0.939394
COVID-19 pandemic response and lockdown measures,43,0.72093,0.939394
