model,avg_intra,avg_inter,separation,encode_seconds
sentence-transformers/all-mpnet-base-v2,0.537017,0.265006,0.272011,0.043
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.678130,0.415996,0.262134,0.024
sentence-transformers/all-MiniLM-L6-v2,0.444721,0.259177,0.185544,0.023
mixedbread-ai/mxbai-embed-large-v1,0.753394,0.577958,0.175435,0.252
nomic-ai/nomic-embed-text-v1.5,0.631404,0.472683,0.158721,0.071
BAAI/bge-m3,0.675316,0.543573,0.131743,0.213
Qwen/Qwen3-Embedding-0.6B,0.737611,0.629171,0.108440,0.382
microsoft/harrier-oss-v1-270m,0.757914,0.661312,0.096602,0.104
BAAI/bge-large-en-v1.5,0.887052,0.814797,0.072255,0.065
BAAI/bge-small-en-v1.5,0.866240,0.816080,0.050160,0.239
intfloat/multilingual-e5-small,0.854395,0.836114,0.018281,0.024
cointegrated/rubert-tiny2,0.876261,0.869636,0.006625,0.015

group_id,concept,BAAI/bge-small-en-v1.5,BAAI/bge-large-en-v1.5,BAAI/bge-m3,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,nomic-ai/nomic-embed-text-v1.5,cointegrated/rubert-tiny2,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,Qwen/Qwen3-Embedding-0.6B,intfloat/multilingual-e5-small,microsoft/harrier-oss-v1-270m,mixedbread-ai/mxbai-embed-large-v1
1,happy,0.846608,0.854648,0.662697,0.351573,0.394701,0.547135,0.869430,0.638865,0.674909,0.876681,0.781200,0.656169
2,angry,0.791340,0.906986,0.572785,0.282066,0.663145,0.580452,0.885634,0.709789,0.718634,0.827506,0.732657,0.813477
3,sad,0.811711,0.887599,0.648475,0.329846,0.499591,0.563537,0.855270,0.585302,0.764411,0.828594,0.728353,0.731120
4,fast,0.853542,0.847253,0.586931,0.370698,0.400400,0.580401,0.882335,0.682977,0.651983,0.818868,0.668924,0.669108
5,smart,0.908321,0.880178,0.700060,0.442411,0.544906,0.649809,0.878098,0.614295,0.773305,0.874288,0.760921,0.750651
6,afraid,0.882976,0.922029,0.799520,0.515497,0.675405,0.731655,0.883202,0.705205,0.816195,0.892209,0.837250,0.841064
7,beautiful,0.886225,0.877852,0.664634,0.508412,0.485885,0.609347,0.860064,0.721972,0.742849,0.859289,0.743233,0.770182
8,tired,0.882729,0.904652,0.755002,0.555918,0.599724,0.693555,0.852757,0.518691,0.738862,0.853279,0.785527,0.767171
9,strange,0.881941,0.880677,0.733116,0.407805,0.433608,0.669573,0.876939,0.781881,0.740677,0.854212,0.752065,0.771077
10,big,0.917001,0.908644,0.629942,0.682987,0.672810,0.688579,0.918884,0.822321,0.754283,0.859026,0.789014,0.763916

proximity_note,BAAI/bge-small-en-v1.5,BAAI/bge-large-en-v1.5,BAAI/bge-m3,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2,nomic-ai/nomic-embed-text-v1.5,cointegrated/rubert-tiny2,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,Qwen/Qwen3-Embedding-0.6B,intfloat/multilingual-e5-small,microsoft/harrier-oss-v1-270m,mixedbread-ai/mxbai-embed-large-v1
anticipatory fear,0.915021,0.907547,0.767226,0.601776,0.610394,0.716941,0.904396,0.732639,0.787250,0.915525,0.837250,0.831055
behaviorally expressed,0.905941,0.922278,0.883135,0.551746,0.597166,0.715037,0.876460,0.882165,0.856386,0.940869,0.880331,0.790527
chronic / reflective sadness,0.851243,0.918350,0.695515,0.537219,0.550274,0.730434,0.857102,0.774414,0.838461,0.867589,0.758797,0.776855
clinical/neutral register,0.935178,0.949056,0.900363,0.745719,0.806517,0.799645,0.826466,0.792054,0.849803,0.912080,0.898831,0.916016
energy-depleted metaphor,0.897068,0.884930,0.690919,0.535294,0.573657,0.693724,0.905626,0.381113,0.770808,0.842973,0.763234,0.677734
extreme / hyperbolic,0.911590,0.872119,0.673227,0.595819,0.675727,0.662453,0.901106,0.935842,0.788934,0.848982,0.785570,0.713867
extreme intensity,0.873086,0.948402,0.668166,0.566632,0.751286,0.763259,0.870052,0.742209,0.790153,0.875884,0.780707,0.878174
formal register,0.771701,0.899914,0.689382,0.276146,0.638982,0.568713,0.884323,0.680936,0.705381,0.812072,0.752816,0.797852
glowing quality,0.829110,0.870280,0.523151,0.339184,0.208033,0.547077,0.879555,0.683638,0.679296,0.818186,0.705088,0.700684
high intensity,0.914422,0.847393,0.674637,0.320069,0.406322,0.647020,0.878587,0.490819,0.759858,0.881564,0.778840,0.699219
implies carelessness,0.829039,0.809896,0.577369,0.321340,0.341533,0.528497,0.903812,0.679253,0.522252,0.804562,0.557249,0.592285
lonely-tinged sadness,0.737185,0.886617,0.715932,0.214802,0.503243,0.501913,0.871126,0.438980,0.745834,0.842814,0.786364,0.742676
mild/cognitive fear,0.824882,0.906433,0.797555,0.248221,0.672326,0.662606,0.867154,0.582486,0.834384,0.848043,0.788528,0.826172
milder / quieter form,0.790524,0.827442,0.547394,0.290751,0.270766,0.498708,0.837550,0.419118,0.630278,0.873307,0.749067,0.581055
moderate pace,0.819992,0.840090,0.592338,0.236973,0.255716,0.533048,0.892764,0.588742,0.536637,0.804033,0.536216,0.636230
morally-flavoured anger,0.815532,0.876365,0.718839,0.296968,0.534678,0.528832,0.867876,0.857174,0.820274,0.853055,0.806460,0.729004
neutral/technical,0.897227,0.823138,0.584554,0.311108,0.349928,0.634450,0.852181,0.745350,0.538611,0.823400,0.607761,0.638184
person-focused oddness,0.897412,0.888978,0.740653,0.412166,0.443605,0.773947,0.856070,0.789398,0.724234,0.852749,0.785878,0.822266
physical + emotional drain,0.895693,0.936265,0.792904,0.626255,0.613618,0.779532,0.882723,0.757218,0.689782,0.856983,0.736448,0.859375
practical wit,0.942765,0.885189,0.793682,0.529193,0.577533,0.659808,0.881972,0.741870,0.787189,0.869362,0.798337,0.790039
shrewd / perceptive,0.892699,0.871001,0.719449,0.360363,0.601317,0.610196,0.858673,0.547393,0.737140,0.884359,0.752025,0.789551
situational / defeated,0.818459,0.896397,0.620401,0.398651,0.587554,0.593293,0.844077,0.776172,0.803877,0.854437,0.759374,0.763184
spatial / abstract scale,0.906272,0.919710,0.562727,0.632563,0.544288,0.622674,0.970265,0.727711,0.699877,0.873955,0.771013,0.758301
